ID,SFR,2MASS_ID,NAME,PI,EPI,FL_PI,DPC,EDPC_H,EDPC_L,FL_MULT,SEP,SED,SPT,REF_SPT,FL_Teff,logTeff,elogTeff,REF_Teff,logLs_in,d_in,elogLs_in,FL_logLs,logLs,elogLs_H,elogLs_L,REF_Ls,FL_logMs,logMs,elogMs_H,elogMs_L,FL_logt,logt,elogt_H,elogt_L,nu_B7,FL_B7,F_B7,eF_B7,LIM_B7,REF_B7,nu_B6,FL_B6,F_B6,eF_B6,LIM_B6,REF_B6,nu_B3,FL_B3,F_B3,eF_B3,LIM_B3,REF_B3,FL_A67,A67,eA67_hi,eA67_lo,LIM_A67,FL_A36,A36,eA36_hi,eA36_lo,LIM_A36,FL_R7,R7,eR7_hi,eR7_lo,LIM_R7,REF_R7,FL_R6,R6,eR6_hi,eR6_lo,LIM_R6,REF_R6,FL_Mgas,Mgas,FL_RCO,R_CO,eR_CO
232,Tau,J04430309+2520187,GO_Tau,6.92,0.05,GaiaDR2,143.6,2.7,1.9,S,-1,II,M2,Luhman10,0,3.546,0.012,Herczeg14,-0.544,140.0,0.121,0,-0.678,0.100,0.100,Herczeg14,0,-0.130,0.021,0.221,0,6.66,0.28,0.38,340.2,0,179.00,14.00,0.00,Tripathi17,225.5,0,54.76,0.33,0.00,Long18,111.0,0,8.20,0.60,0.00,Schaefer09,0,2.88,0.39,0.40,0.00,0,2.68,0.23,0.22,0.00,0,2.52,0.20,0.05,2.83,Tripathi17,0,2.001,0.150,0.150,0,Long19,,,,,
233,Tau,J04432023+2940060,CIDA_14,5.84,0.12,GaiaDR2,170.5,4.9,4.3,S,-1,II,M5,Luhman10,0,3.495,0.020,Andrews13,-0.617,140.0,0.094,0,-0.456,0.107,0.085,Andrews13,0,-0.649,0.095,0.042,0,5.74,0.25,0.00,0.0,-1,0.00,0.00,0.00,none,239.9,1,-1.00,-1.00,0.38,Akeson19,111.0,1,-1.00,-1.00,2.10,Schaefer09,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
234,Tau,J04442713+2512164,IRAS_04414+2506,7.09,0.14,GaiaDR2,140.2,3.9,2.9,S,-1,II,M7.25,Luhman10,0,3.453,0.031,Andrews13,-1.203,140.0,0.154,0,-1.190,0.146,0.164,Andrews13,0,-1.043,0.220,0.073,0,5.83,0.66,0.00,338.0,0,9.00,0.20,0.00,Ricci14,225.4,0,5.20,0.30,0.00,Ricci13,93.0,0,0.87,0.03,0.00,Ricci14,9,1.35,0.39,0.38,0.00,0,2.02,0.18,0.18,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
235,Tau,J04455134+1555367,IRAS_04429+1550,6.76,0.06,GaiaDR2,147.3,2.7,2.3,S,-1,II,M2.5,Luhman10,0,3.543,0.018,Andrews13,-0.614,140.0,0.037,0,-0.570,0.040,0.039,Andrews13,0,-0.435,0.094,0.187,0,6.20,0.24,0.24,0.0,-1,0.00,0.00,0.00,none,225.4,0,51.00,2.00,0.00,Andrews13,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
236,Tau,J04465305+1700001,DQ_Tau_AB,5.06,0.05,GaiaDR2,196.2,5.0,3.7,CB,0.0004,II,,,-1,,,,,,,0,,,,,,,,,,,,,345.0,0,208.00,8.00,0.00,Andrews05,232.0,0,79.00,0.07,0.00,Czekala16,111.0,0,9.60,0.80,0.00,Guilloteau11,0,2.44,0.37,0.37,0.00,0,2.86,0.23,0.22,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.386,0.150,0.150,0,Long19,,,,,
,Tau,J04465305+1700001,DQ_Tau_A,5.06,0.05,GaiaDR2,196.5,4.7,4.0,B,0,II,M0,Mathieu97,0,3.586,0.024,Andrews13,-0.395,140.0,0.164,0,-0.103,0.169,0.163,Andrews13,0,-0.252,0.114,0.176,0,5.94,0.41,0.41,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Tau,J04465305+1700001,DQ_Tau_B,5.06,0.05,GaiaDR2,196.8,4.4,4.4,B,0,II,M0,Mathieu97,0,3.586,0.024,Andrews13,-0.395,140.0,0.164,0,-0.112,0.177,0.152,Andrews13,0,-0.260,0.122,0.163,0,5.94,0.39,0.40,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
237,Tau,J04465897+1702381,Haro_6-37_AB,5.86,0.19,GaiaDR2,170.0,6.8,5.7,HJ,0.33,III,,,-1,,,,,,,0,,,,,,,,,,,,,340.8,1,-1.00,-1.00,15.00,Harris12,239.9,0,2.10,0.34,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,2,-1.00,0.00,0.00,5.60,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
239,Tau,J04465897+1702381,Haro_6-37_A,5.86,0.19,GaiaDR2,169.7,7.1,5.4,HCB,0,III,K7,Luhman10,0,3.609,0.023,Andrews13,-0.118,140.0,0.145,0,0.048,0.153,0.143,Andrews13,0,-0.169,0.114,0.135,0,5.93,0.37,0.30,340.8,1,-1.00,-1.00,15.00,Harris12,239.9,0,2.10,0.34,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,2,-1.00,0.00,0.00,5.60,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
240,Tau,J04465897+1702381,Haro_6-37_B,5.86,0.19,GaiaDR2,169.5,7.2,5.4,HCB,0,III,M4,Andrews13,0,3.515,0.058,Andrews13,-0.684,140.0,0.169,0,-0.513,0.172,0.173,Andrews13,0,-0.719,0.418,0.082,0,5.98,0.52,0.81,340.8,1,-1.00,-1.00,15.00,Harris12,239.9,1,-1.00,-1.00,0.96,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
241,Tau,J04465897+1702381,Haro_6-37_C,5.03,0.07,GaiaDR2,197.7,5.1,4.4,HC,0,II,M1,Luhman10,0,3.569,0.017,Andrews13,-0.515,140.0,0.129,0,-0.209,0.125,0.134,Andrews13,0,-0.329,0.084,0.136,0,5.96,0.30,0.31,340.8,0,218.00,6.00,0.00,Harris12,239.9,0,38.50,1.95,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,9,4.94,0.44,0.44,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
238,Tau,J04465897+1702381,Haro_6-37_ABC,5.03,0.07,GaiaDR2,197.6,5.3,4.3,J,2.62,III,,,-1,,,,,,,0,,,,,,,,,,,,,340.8,0,218.00,6.00,0.00,Harris12,239.9,0,40.60,1.95,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,9,4.79,0.44,0.43,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
242,Tau,J04470620+1658428,DR_Tau,5.11,0.06,GaiaDR2,194.7,4.7,4.2,S,-1,II,K5,Luhman10,0,3.639,0.024,Andrews13,0.259,140.0,0.146,0,0.563,0.130,0.165,Andrews13,0,-0.060,0.125,0.146,0,5.53,0.35,0.37,345.0,0,533.00,7.00,0.00,Andrews05,230.6,0,109.00,11.00,0.00,Isella09,100.8,0,13.90,0.47,0.00,Ricci10,9,3.94,0.45,0.43,0.00,0,2.49,0.21,0.22,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.564,0.150,0.150,0,Long19,,,,,
243,Tau,J04474859+2925112,DS_Tau,6.29,0.04,GaiaDR2,158.2,2.9,2.5,S,-1,II,K5,Luhman10,0,3.639,0.024,Andrews13,-0.119,140.0,0.162,0,-0.015,0.166,0.160,Andrews13,0,0.006,0.043,0.160,0,6.38,0.28,0.41,342.0,0,41.30,1.80,0.00,Akeson14,225.5,0,22.24,0.11,0.00,Long18,100.8,0,2.96,0.21,0.00,Ricci10,9,1.49,0.35,0.36,0.00,0,2.50,0.20,0.19,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.774,0.150,0.150,0,Long19,,,,,
244,Tau,J04514737+3047134,UY_Aur_AB,6.43,0.06,GaiaDR2,155.1,2.7,3.0,J,0.88,II,,,-1,,,,,,,0,,,,,,,,,,,,,340.2,0,66.67,0.72,0.00,Akeson14,223.6,0,28.70,0.25,0.00,Akeson14,88.2,0,7.10,0.10,0.00,Tang14,9,2.01,0.34,0.34,0.00,9,1.50,0.15,0.15,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
245,Tau,J04514737+3047134,UY_Aur_A,6.43,0.06,GaiaDR2,154.9,2.9,2.7,B,0,II,M0,Hartigan03,0,3.586,0.024,Andrews13,0.005,140.0,0.159,0,0.119,0.134,0.186,Andrews13,0,-0.366,0.191,0.064,0,5.69,0.31,0.54,340.2,0,48.40,0.66,0.00,Akeson14,223.6,0,20.83,0.23,0.00,Akeson14,88.2,0,5.40,0.10,0.00,Tang14,0,2.01,0.34,0.34,0.00,9,1.45,0.15,0.15,0.00,-1,0.00,0.00,0.00,0.00,none,0,0.708,0.100,0.100,0,Manara19,,,,,
246,Tau,J04514737+3047134,UY_Aur_B,6.43,0.06,GaiaDR2,154.9,2.9,2.7,B,0,II,M2.5,Hartigan03,0,3.543,0.018,Andrews13,-0.288,140.0,0.160,0,-0.208,0.169,0.154,Andrews13,0,-0.512,0.106,0.096,0,5.79,0.14,0.68,340.2,0,18.27,0.72,0.00,Akeson14,223.6,0,7.87,0.25,0.00,Akeson14,88.2,0,1.70,0.10,0.00,Tang14,0,2.01,0.36,0.36,0.00,9,1.65,0.17,0.17,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
248,Tau,J04542368+1709534,St_34_AB,7.01,0.06,GaiaDR2,142.1,2.5,2.2,HCB,0.01,II,,,-1,,,,,,,0,,,,,,,,,,,,,345.0,1,-1.00,-1.00,11.00,Andrews05,239.0,1,-1.00,-1.00,15.00,Osterloh95,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
,Tau,J04542368+1709534,St_34_A,7.01,0.06,GaiaDR2,141.8,2.7,2.0,B,0,II,M3,White05,0,3.533,0.018,Andrews13,-1.115,140.0,0.072,0,-1.103,0.074,0.072,Andrews13,0,-0.495,0.104,0.156,0,6.85,0.28,0.31,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Tau,J04542368+1709534,St_34_B,7.01,0.06,GaiaDR2,142.2,2.4,2.4,B,0,II,M3,White05,0,3.533,0.018,Andrews13,-1.115,140.0,0.072,0,-1.110,0.082,0.065,Andrews13,0,-0.490,0.104,0.155,0,6.90,0.23,0.35,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
249,Tau,J04542368+1709534,St_34_C,7.01,0.06,GaiaDR2,142.3,2.2,2.5,HC,0,II,M5.5,Dahm11,0,3.485,0.020,Andrews13,-1.825,140.0,0.101,0,-1.817,0.106,0.097,Andrews13,0,-0.960,0.173,0.265,0,6.89,0.46,0.21,345.0,1,-1.00,-1.00,11.00,Andrews05,239.0,1,-1.00,-1.00,15.00,Osterloh95,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
247,Tau,J04542368+1709534,St_34_ABC,7.01,0.06,GaiaDR2,142.0,2.6,2.1,HJ,1.18,II,,,-1,,,,,,,0,,,,,,,,,,,,,345.0,1,-1.00,-1.00,11.00,Andrews05,239.0,1,-1.00,-1.00,15.00,Osterloh95,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
250,Tau,J04551098+3021595,GM_Aur,6.26,0.08,GaiaDR2,158.6,3.8,2.7,S,-1,TD,K3,Espaillat10,0,3.675,0.016,Andrews13,0.091,140.0,0.100,0,0.209,0.095,0.109,Andrews13,0,0.123,0.023,0.082,0,6.41,0.22,0.25,342.3,0,632.00,11.00,0.00,Tripathi17,230.6,0,175.80,5.30,0.00,Guilloteau11,111.0,0,23.70,0.80,0.00,Guilloteau11,0,3.24,0.37,0.37,0.00,0,2.74,0.20,0.20,0.00,0,2.38,0.03,0.02,2.43,Tripathi17,,,,,,,,,0,4.29,0.80
251,Tau,J04554535+3019389,J04554535,6.46,0.10,GaiaDR2,154.1,3.7,3.1,S,-1,II,M4.75,Luhman10,0,3.500,0.020,Andrews13,-1.122,140.0,0.036,0,-1.040,0.043,0.039,Andrews13,0,-0.929,0.325,0.010,0,6.28,0.29,0.43,0.0,-1,0.00,0.00,0.00,none,239.9,1,-1.00,-1.00,0.39,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
252,Tau,J04554582+3033043,AB_Aur,6.14,0.06,GaiaDR2,162.2,3.2,2.9,S,-1,II,A0.5,Roberge01,0,3.972,0.052,Andrews13,1.566,140.0,0.385,0,1.682,0.396,0.375,Andrews13,0,0.359,0.076,0.054,9,7.75,0.00,1.06,345.0,0,350.00,20.00,0.00,Sandell11,214.1,0,85.00,5.00,0.00,Pietu05,102.5,0,10.00,0.90,0.00,Ricci12,0,2.97,0.35,0.34,0.00,0,2.91,0.25,0.24,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
253,Tau,J04554801+3028050,J04554801,6.07,0.18,GaiaDR2,163.0,7.0,4.1,S,-1,II,M5.5,Luhman10,0,3.485,0.020,Andrews13,-1.807,140.0,0.075,0,-1.672,0.085,0.077,Andrews13,0,-0.915,0.144,0.319,0,6.74,0.42,0.27,340.8,1,-1.00,-1.00,23.00,Harris12,239.9,1,-1.00,-1.00,0.35,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
254,Tau,J04554969+3019400,J04554969,6.39,0.19,GaiaDR2,155.8,5.8,4.7,S,-1,II,M6,Luhman10,0,3.476,0.020,Andrews13,-1.695,140.0,0.068,0,-1.595,0.069,0.079,Andrews13,0,-1.224,0.370,0.031,0,6.63,0.28,0.51,0.0,-1,0.00,0.00,0.00,none,239.9,1,-1.00,-1.00,0.35,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
255,Tau,J04555605+3036209,XEST_26-062,6.29,0.34,avg,158.2,10.6,7.5,S,-1,II,M4,Luhman10,0,3.515,0.019,Andrews13,-0.576,140.0,0.098,0,-0.465,0.112,0.108,Andrews13,0,-0.664,0.105,0.105,0,5.90,0.06,0.80,338.7,0,1.00,0.10,0.00,Ward-Duong18,225.4,0,9.10,1.50,0.00,Andrews13,0.0,-1,0.00,0.00,0.00,none,9,-5.42,0.61,0.57,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
256,Tau,J04555938+3034015,SU_Aur,6.31,0.06,GaiaDR2,157.8,3.1,2.7,S,-1,II,G8,Massarotti15,0,3.742,0.021,Andrews13,1.030,140.0,0.148,0,1.140,0.143,0.155,Andrews13,0,0.425,0.046,0.069,0,5.95,0.32,0.26,341.8,0,52.00,1.50,0.00,Tripathi17,0.0,-1,0.00,0.00,0.00,none,84.5,0,2.88,0.19,0.00,Ricci10,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,0,1.33,0.15,0.50,1.62,Tripathi17,,,,,,,,,,,
257,Tau,J04560118+3026348,XEST_26-071,6.30,0.37,GaiaDR2,157.7,11.8,7.7,S,-1,II,M3.5,Luhman10,0,3.524,0.019,Andrews13,-0.924,140.0,0.090,0,-0.813,0.106,0.102,Andrews13,0,-0.555,0.112,0.214,0,6.30,0.30,0.36,0.0,-1,0.00,0.00,0.00,none,239.9,1,-1.00,-1.00,0.35,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
258,Tau,J04584626+2950370,MWC_480,6.18,0.08,GaiaDR2,160.9,3.7,2.9,S,-1,II,A4.5,Mora01,0,3.921,0.020,Andrews13,1.282,140.0,0.273,0,1.393,0.286,0.264,Andrews13,0,0.265,0.045,0.022,0,6.81,0.94,0.00,340.8,0,660.00,3.00,0.00,Hughes08,225.5,0,267.76,0.21,0.00,Long18,111.0,0,35.80,0.50,0.00,Guilloteau11,0,2.18,0.34,0.34,0.00,0,2.84,0.20,0.20,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.744,0.150,0.150,0,Long19,,,0,3.29,0.70
259,Tau,J05030659+2523197,V836_Tau,5.90,0.04,GaiaDR2,168.8,3.1,3.1,S,-1,II,K7,Luhman10,0,3.609,0.023,Andrews13,-0.246,140.0,0.113,0,-0.083,0.114,0.116,Andrews13,0,-0.156,0.117,0.117,0,6.13,0.35,0.25,341.4,0,61.00,2.00,0.00,Tripathi17,220.0,0,28.00,0.70,0.00,Pietu14,102.5,0,6.60,0.50,0.00,Ricci12,0,1.77,0.34,0.34,0.00,0,1.89,0.22,0.21,0.00,0,1.46,0.10,0.03,1.62,Tripathi17,0,1.335,0.150,0.150,0,Long19,,,,,
260,Tau,J05044139+2509544,CIDA_8,5.86,0.08,GaiaDR2,169.8,4.0,3.4,S,-1,II,M3.5,Luhman10,0,3.524,0.019,Andrews13,-0.704,140.0,0.068,0,-0.531,0.066,0.075,Andrews13,0,-0.682,0.199,0.063,0,5.99,0.15,0.61,345.0,0,27.00,3.00,0.00,Andrews05,230.6,0,8.20,1.40,0.00,Schaefer09,111.0,1,-1.00,-1.00,2.10,Schaefer09,0,2.96,0.65,0.60,0.00,1,-1.00,0.00,0.00,1.86,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
261,Tau,J05052286+2531312,CIDA_9_AB,5.82,0.09,GaiaDR2,171.2,4.0,3.8,J,2.3,II,,,-1,,,,,,,0,,,,,,,,,,,,,340.2,0,74.40,2.00,0.00,Akeson14,239.9,0,33.80,1.69,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,9,2.26,0.44,0.44,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
262,Tau,J05052286+2531312,CIDA_9_A,5.82,0.09,GaiaDR2,171.0,4.3,3.6,B,0,II,K8,Luhman10,0,3.601,0.023,Andrews13,-1.010,140.0,0.255,0,-0.802,0.223,0.288,Andrews13,0,-0.195,0.077,0.088,0,7.10,0.45,0.43,340.2,0,74.40,2.00,0.00,Akeson14,239.9,0,33.80,1.69,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,0,2.26,0.44,0.44,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.685,0.100,0.100,0,Manara19,,,,,
263,Tau,J05052286+2531312,CIDA_9_B,5.59,0.21,GaiaDR2,177.6,8.7,6.2,B,0,II,M1.5,Andrews13,0,3.560,0.035,Andrews13,-1.089,140.0,0.408,0,-0.882,0.412,0.406,Andrews13,0,-0.322,0.092,0.317,0,6.75,0.59,0.76,340.2,1,-1.00,-1.00,0.99,Akeson14,239.9,1,-1.00,-1.00,0.42,Akeson19,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
264,Tau,J05062332+2432199,CIDA_11_AB,6.62,0.42,GaiaDR2,150.5,11.9,8.2,CB,0.097,II,,,-1,,,,,,,0,,,,,,,,,,,,,345.0,1,-1.00,-1.00,8.00,Andrews05,239.9,1,-1.00,-1.00,0.36,Akeson19,111.0,1,-1.00,-1.00,2.10,Schaefer09,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
,Tau,J05062332+2432199,CIDA_11_A,6.62,0.42,GaiaDR2,149.8,12.6,7.5,B,0,II,M3.5,Luhman10,0,3.524,0.019,Andrews13,-0.932,140.0,0.105,0,-0.852,0.111,0.129,Andrews13,0,-0.538,0.094,0.231,0,6.34,0.35,0.31,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Tau,J05062332+2432199,CIDA_11_B,6.62,0.42,GaiaDR2,150.4,11.9,8.1,B,0,II,M4.5,Andrews13,0,3.505,0.030,Andrews13,-1.046,140.0,0.137,0,-0.970,0.143,0.154,Andrews13,0,-0.891,0.390,0.031,0,6.27,0.46,0.61,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
265,Tau,J05074953+3024050,RW_Aur_AB,6.12,0.07,GaiaDR2,162.6,3.5,3.0,J,1.42,II,,,-1,,,,,,,0,,,,,,,,,,,,,338.0,0,97.80,0.31,0.00,Rodriguez18,225.0,0,40.92,0.02,0.00,Rodriguez18,112.5,0,8.80,0.30,0.00,Cabrit06,9,2.14,0.35,0.35,0.00,0,2.22,0.21,0.21,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
266,Tau,J05074953+3024050,RW_Aur_A,6.12,0.07,GaiaDR2,162.6,3.5,2.9,B,0,II,K2.5,Gahm08,0,3.683,0.024,Andrews13,0.276,140.0,0.168,0,0.410,0.165,0.173,Andrews13,0,0.155,0.053,0.128,0,6.14,0.33,0.33,338.0,0,85.62,0.31,0.00,Rodriguez18,225.0,0,36.31,0.02,0.00,Rodriguez18,112.5,0,8.00,0.30,0.00,Cabrit06,0,2.11,0.35,0.35,0.00,0,2.18,0.21,0.21,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.217,0.100,0.100,0,Manara19,,,,,
267,Tau,J05074953+3024050,RW_Aur_B,6.58,0.90,GaiaDR2,150.3,34.0,12.7,B,0,II,K5,Duchene99,0,3.639,0.024,Andrews13,-0.101,140.0,0.185,0,-0.009,0.244,0.208,Andrews13,0,0.008,0.041,0.165,0,6.29,0.37,0.45,338.0,0,12.18,0.28,0.00,Rodriguez18,225.0,0,4.61,0.02,0.00,Rodriguez18,112.5,0,0.80,0.30,0.00,Cabrit06,0,2.39,0.35,0.35,0.00,0,2.53,0.71,0.50,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.037,0.100,0.100,0,Manara19,,,,,
268,Tau,J05075496+2500156,CIDA_12,6.07,0.09,GaiaDR2,164.1,3.8,3.5,S,-1,II,M4,Luhman10,0,3.515,0.019,Andrews13,-1.095,140.0,0.560,0,-0.952,0.562,0.561,Andrews13,0,-0.648,0.126,0.158,0,6.45,0.69,0.99,338.7,0,2.88,0.12,0.00,Ward-Duong18,230.6,1,-1.00,-1.00,4.50,Schaefer09,111.0,1,-1.00,-1.00,2.10,Schaefer09,1,-1.00,0.00,0.00,-1.16,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
269,Tau,J05302753+2519571,MWC_758,6.24,0.07,GaiaDR2,159.5,3.4,2.9,S,-1,II,A8,Donehew11,0,3.880,0.025,Andrews18,1.176,200.0,0.200,0,0.984,0.197,0.204,Andrews18,0,0.236,0.045,0.046,10,7.11,0.36,0.22,343.5,0,180.00,0.02,0.00,Dong18,230.6,0,56.00,1.00,0.00,Chapillon08,89.0,0,3.30,0.40,0.00,Chapillon08,0,2.93,0.36,0.36,0.00,0,2.97,0.21,0.19,0.00,0,1.99,0.01,0.01,2.02,Tripathi17,,,,,,,,,,,
270,Tau,J05355845+2444542,CQ_Tau,6.13,0.08,GaiaDR2,162.5,3.5,3.2,S,-1,II,F1.5,GarciaLopez06,0,3.839,0.035,Andrews18,0.602,100.0,0.300,0,1.022,0.303,0.299,Andrews18,0,0.184,0.088,0.033,0,7.04,0.68,0.24,339.8,0,444.00,13.00,0.00,Tripathi17,230.6,0,103.00,1.00,0.00,Banzatti11,111.0,0,22.00,0.30,0.00,Banzatti11,0,3.77,0.38,0.38,0.00,0,2.11,0.20,0.19,0.00,0,1.84,0.03,0.02,1.89,Tripathi17,,,,,,,,,0,1.43,0.40
,Lup,,IK_Lup_Sz_66,6.40,0.07,GaiaDR2,155.5,3.0,3.0,J,6.4,II,,,,,,,,,,,,,,,,,,,,,,,335.0,0,81.40,3.00,0.00,Andrews18,225.7,0,36.36,0.20,0.00,Ansdell18,0.0,-1,0.00,0.00,0.00,none,0,2.04,0.37,0.37,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
271,Lup,J15392776-3446171,IK_Lup,6.44,0.05,GaiaDR2,154.7,2.8,2.6,B,0,II,K7,Alcala17,0,3.610,0.018,Alcala17,-0.080,150.0,0.095,0,-0.055,0.097,0.094,Alcala17,0,-0.150,0.094,0.094,0,6.12,0.28,0.23,335.0,0,66.30,0.90,0.00,Andrews18,225.7,0,29.94,0.20,0.00,Ansdell18,0.0,-1,0.00,0.00,0.00,none,0,2.01,0.36,0.36,0.00,-1,0.00,0.00,0.00,0.00,0,1.57,0.03,0.02,1.62,Andrews18,,,,,,,0,0.67,0,1.15,0.16
272,Lup,J15392828-3446180,Sz_66,6.36,0.09,GaiaDR2,156.4,3.7,2.9,B,0,II,M3,Alcala17,0,3.534,0.010,Alcala17,-0.699,150.0,0.100,0,-0.657,0.098,0.106,Alcala17,0,-0.503,0.063,0.084,0,6.20,0.24,0.14,335.0,0,15.10,3.40,0.00,Andrews18,225.7,0,6.42,0.18,0.00,Ansdell18,0.0,-1,0.00,0.00,0.00,none,0,2.17,0.62,0.76,0.00,-1,0.00,0.00,0.00,0.00,0,1.29,0.93,0.00,2.50,Andrews18,,,,,,,0,0.01,,,
273,Lup,J15430131-3409153,J15430131,6.47,0.88,avg,155.2,32.2,15.2,U,-1,II,?,none,-1,,,none,,,,-1,,,,none,9,,,,,,,,335.0,1,0.01,0.31,0.94,Ansdell16,225.7,1,-0.24,0.09,0.27,Ansdell18,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,1,0.37,,,
274,Lup,J15430227-3444059,J15430227,5.85,0.80,avg,169.6,37.9,15.1,U,-1,II,?,none,-1,,,none,,,,-1,,,,none,9,,,,,,,,335.0,1,0.22,0.27,1.03,Ansdell16,225.7,1,0.00,0.09,0.27,Ansdell18,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,1,0.32,,,
